CODIGO_IES,CODIGO_CURSO,CPC_CONTINUO,CPC_FAIXA
1,1,3.027883464,4.0
1,2,2.814476755,3.0
1,3,2.497350057517,3.0
1,6,2.966373346,4.0
1,7,3.131664777,4.0
1,8,3.059953888,4.0
1,9,3.33186116947,4.0
1,10,2.854423708977,3.0
1,12,3.498936725963,4.0
1,13,3.123130462,4.0
1,16,3.577923794364,4.0
1,17,3.973203272859,5.0
1,19,3.37024668,4.0
1,20,3.13249862957,4.0
1,21,2.665894759,3.0
1,23,3.203122955,4.0
1,24,2.868397443,3.0
1,25,3.122934936,4.0
1,26,2.428400244,3.0
1,27,1.715030574,2.0
1,29,3.009592427,4.0
1,32,2.902627891,3.0
1,34,3.028639198,4.0
1,36,3.125291755,4.0
1,37,2.918617171122,3.0
1,44,3.216268200066,4.0
1,18354,2.977350648,4.0
1,21442,2.948783862982,4.0
1,22118,3.311544188,4.0
1,22837,2.55743242,3.0
1,25903,3.201220596,4.0
1,25949,3.03134785,4.0
1,26025,2.892149366,3.0
1,41690,2.791270117,3.0
1,62906,2.826653389943,3.0
1,62936,2.808655619,3.0
1,62940,3.307367215,4.0
1,84854,3.028171573,4.0
1,94331,1.621400388,2.0
1,100763,2.815069062411,3.0
1,100768,3.135272531872,4.0
1,100770,2.888292398611,3.0
1,100772,3.471421183227,4.0
1,100775,3.14928734,4.0
1,100776,2.595572819,3.0
1,100777,2.526756471,3.0
1,100778,3.100776224029,4.0
1,100800,2.912423677945,3.0
1,100802,2.772430572498,3.0
1,100804,3.457003002542,4.0
1,100920,2.793692958375,3.0
1,100928,2.392653758432,3.0
1,101054,2.65027466,3.0
1,101184,2.174416819,3.0
1,106050,1.856073176,2.0
1,106052,2.745033534,3.0
1,112770,2.729011486052,3.0
1,112846,3.1146002,4.0
1,116560,1.950088127,3.0
1,116648,2.661229145653,3.0
1,116662,1.816698148149,2.0
1,116690,3.236104996,4.0
1,116708,3.060750732,4.0
1,116720,3.058837808008,4.0
1,116736,3.086826351075,4.0
1,117004,3.198803815,4.0
1,118002,2.947407683,4.0
1,123013,2.255862318,3.0
1,123052,2.2179043,3.0
1,123055,2.411839553582,3.0
1,123427,2.963365853,4.0
1,123620,2.91803205236,3.0
1,1103426,2.791007719,3.0
1,1103701,2.134147892,3.0
1,1103708,2.072126361,3.0
1,1103709,1.990617808,3.0
1,1103710,2.894219816,3.0
1,1103711,3.414334378,4.0
1,1103712,3.732047613,4.0
1,1103742,3.113606498,4.0
1,1127343,2.386106921,3.0
1,1128077,2.061219919,3.0
1,1168551,3.343111358257,4.0
1,1188880,1.743855397,2.0
1,1202871,2.593129973,3.0
1,1202899,2.613406281,3.0
1,1261971,3.660527481097,4.0
1,1261972,2.938494525291,3.0
1,1270010,3.31880969884,4.0
1,1270057,3.094577269644,4.0
1,1270062,3.004418842424,4.0
2,122,3.495237036,4.0
2,126,3.421524652,4.0
2,127,3.253244137,4.0
2,128,3.170918218,4.0
2,132,3.220740359988,4.0
2,133,2.681114082,3.0
2,135,3.295230614872,4.0
2,136,3.449260541357,4.0
2,137,3.351106644378,4.0
2,138,3.619754232507,4.0
2,139,2.905521583425,3.0
2,140,3.45252906257,4.0
2,141,3.413134232018,4.0
2,142,3.047130789,4.0
2,143,3.319074996021,4.0
2,144,3.5180704299,4.0
2,145,3.405828518,4.0
2,148,3.471875331,4.0
2,149,3.397835287,4.0
2,150,2.929272982,3.0
2,151,2.295158222,3.0
2,158,3.120062214,4.0
2,159,3.005096075,4.0
2,160,3.4158755,4.0
2,161,2.455716417,3.0
2,162,2.166964536,3.0
2,163,2.800749941,3.0
2,165,3.500416824,4.0
2,167,3.14985005,4.0
2,18030,3.287719854247,4.0
2,18031,3.180795018116,4.0
2,18032,3.673748656,4.0
2,18033,,
2,22122,3.017835029,4.0
2,22844,3.808261967,4.0
2,26030,3.412957256,4.0
2,26033,3.589658617,4.0
2,26978,3.626396338,4.0
2,27858,3.90806025,4.0
2,29692,3.492561751,4.0
2,29693,2.528833889,3.0
2,31376,2.845517511,3.0
2,31381,3.282538082,4.0
2,33204,2.555086946,3.0
2,33205,3.690023682,4.0
2,34642,3.641366536,4.0
2,34644,3.17577455,4.0
2,34983,3.222420714,4.0
2,34992,3.384389398,4.0
2,44362,3.395343121,4.0
2,44365,3.275839544,4.0
2,44366,3.522764094,4.0
2,44369,3.352366437,4.0
2,44372,2.915100969,3.0
2,44382,3.420442192,4.0
2,44418,2.704413908,3.0
2,52159,4.322625659,5.0
2,85124,3.484744515801,4.0
2,101550,2.595833717,3.0
2,112158,2.560210581,3.0
2,112160,,
2,112162,2.408431681,3.0
2,112164,2.418431667,3.0
2,112170,4.10876586,5.0
2,112794,3.385986311974,4.0
2,112796,3.480857489329,4.0
2,112818,3.557771525141,4.0
2,112872,2.937338890217,3.0
2,112887,3.375381633358,4.0
2,112889,3.457045047375,4.0
2,122204,3.319992954597,4.0
2,122206,3.409561084156,4.0
2,122210,3.571760807,4.0
2,122212,2.645566256,3.0
2,122214,3.474228572,4.0
2,122220,2.339452713,3.0
2,300118,3.048925334,4.0
2,300129,3.08172325,4.0
2,1138293,3.194302570751,4.0
2,1138344,3.271681138,4.0
2,1138345,2.995278401,4.0
2,1138346,2.985809976,4.0
2,1140035,3.584868046356,4.0
2,1140082,2.979980902,4.0
2,1140088,3.137547659381,4.0
2,1192413,3.194988724178,4.0
2,1192414,3.260367464424,4.0
2,1192419,3.302116659001,4.0
2,1269978,3.223593794471,4.0
3,294,3.720690504337,4.0
3,295,3.477268824753,4.0
3,297,2.864368137,3.0
3,299,4.211856354,5.0
3,302,3.515755575529,4.0
3,303,3.624055169755,4.0
3,304,3.043749679444,4.0
3,306,2.853699095,3.0
3,308,3.203011328,4.0
3,310,4.138545243,5.0
3,311,2.838445387,3.0
3,315,3.210244262,4.0
3,317,3.39515985,4.0
3,318,3.013384988,4.0
3,319,3.725190367501,4.0
3,321,1.96638254,3.0
3,322,3.330907602,4.0
3,326,2.858975294,3.0
3,327,3.214377713,4.0
3,328,3.473059189,4.0
3,20190,2.806822713,3.0
3,20762,3.146508143,4.0
3,20763,,
3,20764,2.691841437,3.0
3,20767,3.965151815,5.0
3,20768,2.495267616,3.0
3,20782,3.183056075,4.0
3,40149,3.927535182836,4.0
3,49512,3.128756103,4.0
3,49673,2.770136061417,3.0
3,52852,3.196839484,4.0
3,64064,3.031751672,4.0
3,80418,4.061546393171,5.0
3,80419,2.358913768,3.0
3,80420,3.183701227,4.0
3,80877,2.958311221,4.0
3,80886,2.54782489,3.0
3,80896,2.776418517,3.0
3,94033,3.473258915781,4.0
3,95017,3.447420585,4.0
3,95033,2.797579557,3.0
3,95037,3.022350962,4.0
3,95044,2.577583227,3.0
3,95050,2.877672754,3.0
3,95051,3.262609046,4.0
3,95053,2.257956508,3.0
3,95055,2.733369628,3.0
3,95057,2.693516475,3.0
3,95059,3.003650957,4.0
3,98609,3.489541263198,4.0
3,99400,3.092888365921,4.0
3,99402,2.930468241,3.0
3,99404,3.654711553399,4.0
3,99406,3.512614311,4.0
3,99411,3.435100207499,4.0
3,99413,3.554209575236,4.0
3,99416,3.024315951931,4.0
3,99418,2.656981056,3.0
3,99420,2.845853017,3.0
3,99423,3.37473616297,4.0
3,99425,2.667714346,3.0
3,99426,2.262979771,3.0
3,99444,2.973559432825,4.0
3,101666,2.944164445,3.0
3,106404,2.450171814,3.0
3,106408,4.228295182,5.0
3,106411,2.445767585,3.0
3,106416,2.603412551,3.0
3,106418,2.378737572,3.0
3,106421,2.599324613,3.0
3,116188,3.671961684297,4.0
3,116216,2.771972673,3.0
3,116220,3.196441284333,4.0
3,116324,3.640012352,4.0
3,1108064,2.884115695,3.0
3,1108066,3.490688404357,4.0
3,1108067,3.080210414846,4.0
3,1108149,4.108047845914,5.0
3,1108153,3.55680744133,4.0
3,1108154,3.601479026471,4.0
3,1108158,3.679610815188,4.0
3,1108163,3.782705282189,4.0
3,1108167,2.975047085723,4.0
3,1108170,3.412099364144,4.0
3,1109548,2.684620429,3.0
3,1116573,2.668720131,3.0
3,1158648,2.041140762,3.0
3,1182904,2.321695593,3.0
3,1321453,3.075507316495,4.0
3,1321454,2.885499320984,3.0
3,1321455,4.048349120982,5.0
4,376,2.728336696,3.0
4,377,3.024386539,4.0
4,378,2.38268892,3.0
4,379,2.806426966,3.0
4,380,2.547856791,3.0
4,381,3.056062846,4.0
4,382,2.760140491,3.0
4,383,3.176730180488,4.0
4,385,3.291880617454,4.0
4,388,2.360066317,3.0
4,389,2.58816630821,3.0
4,390,3.444799618409,4.0
4,391,4.469389629584,5.0
4,392,2.944101821,3.0
4,395,2.905885841,3.0
4,396,3.072442805,4.0
4,397,2.658572676,3.0
4,398,3.351509572,4.0
4,399,3.682431909959,4.0
4,402,3.463912179,4.0
4,403,2.904997484,3.0
4,407,2.681819269,3.0
4,2133,3.542545255965,4.0
4,18353,3.094206953,4.0
4,27733,2.402876979,3.0
4,34646,2.917160639,3.0
4,62484,3.746475006,4.0
4,62486,2.158260489,3.0
4,62512,2.130628279,3.0
4,65424,3.332111225558,4.0
4,84288,3.01967079866,4.0
4,84526,2.850507444074,3.0
4,101606,2.210965188,3.0
4,101608,2.204555066,3.0
4,101614,2.184197038,3.0
4,101620,2.821978913251,3.0
4,101622,2.014241773454,3.0
4,101639,2.220008198,3.0
4,101641,2.083446189,3.0
4,101645,2.122350702669,3.0
4,101651,2.445271600127,3.0
4,101653,3.089448283131,4.0
4,104364,2.895677722206,3.0
4,104366,3.178060532708,4.0
4,112086,2.317146519,3.0
4,112088,2.52843587203,3.0
4,112090,3.461182446754,4.0
4,112092,2.215930684,3.0
4,112098,2.98876252,4.0
4,112100,2.88047158,3.0
4,112102,2.705161071,3.0
4,112104,2.045713427,3.0
4,112106,2.569095318,3.0
4,112108,2.526066251706,3.0
4,112290,3.418492524898,4.0
4,116832,2.952537768,4.0
4,118408,2.867468716903,3.0
4,118410,3.065903887593,4.0
4,118412,3.874095059354,4.0
4,122628,2.773199318472,3.0
4,122630,2.880148842,3.0
4,122634,3.276735719,4.0
4,122640,2.663773514474,3.0
4,122642,2.287998812,3.0
4,122644,2.42248341381,3.0
4,300379,3.487240359,4.0
4,300403,3.399474491,4.0
4,1103469,1.853171854,2.0
4,1106983,2.897038246,3.0
4,1106984,3.13241031,4.0
4,1110779,3.317597935,4.0
4,1167036,3.002847963502,4.0
4,1167330,3.17303014804,4.0
4,1171749,2.443979429,3.0
4,5000500,2.583018901,3.0
5,484,3.231668129791,4.0
5,485,3.257275223583,4.0
5,486,3.624585964189,4.0
5,487,2.743934178,3.0
5,488,3.352381509661,4.0
5,490,3.049710219,4.0
5,491,3.131757254,4.0
5,492,2.610641008,3.0
5,494,2.78206074,3.0
5,495,3.009265117,4.0
5,496,2.820502702,3.0
5,497,3.188458823,4.0
5,498,2.192319369,3.0
5,500,2.590044832,3.0
5,501,2.404797473,3.0
5,502,1.869487653,2.0
5,504,2.878443970732,3.0
5,508,3.003935995614,4.0
5,512,3.191422008042,4.0
5,513,2.929733412,3.0
5,516,3.691288803751,4.0
5,517,2.74445486243,3.0
5,518,3.015131741,4.0
5,519,2.533187834,3.0
5,520,1.749713857,2.0
5,525,2.742852199,3.0
5,18373,2.648370468,3.0
5,22129,2.83723548,3.0
5,32832,2.643011854,3.0
5,33221,2.71713815,3.0
5,56030,2.865865861,3.0
5,73192,3.053702483,4.0
5,94086,2.335869735,3.0
5,99714,2.770604954,3.0
5,99718,2.779244190922,3.0
5,99722,3.01558236566,4.0
5,99728,2.898487974,3.0
5,99860,2.784919128,3.0
5,99864,2.995347878119,4.0
5,99870,2.51228465,3.0
5,99916,3.296506979339,4.0
5,99921,2.097656093,3.0
5,102530,3.042967427,4.0
5,102564,2.973762619465,4.0
5,102566,2.936797936548,3.0
5,102576,2.303237851,3.0
5,102580,2.768114622704,3.0
5,102588,2.017378815,3.0
5,102590,2.699699502,3.0
5,102675,2.572895985673,3.0
5,104018,2.715795924,3.0
5,104156,3.035877403,4.0
5,104726,2.523387308,3.0
5,108006,2.756611954,3.0
5,108660,2.240665275,3.0
5,109356,1.950343677,3.0
5,109394,2.433075398,3.0
5,116406,2.937712663457,3.0
5,116408,2.963941416061,4.0
5,116410,2.682755908372,3.0
5,116632,3.095485397268,4.0
5,116638,2.785815925,3.0
5,116640,2.35776841,3.0
5,116642,2.579050299,3.0
5,123498,1.763962409,2.0
5,300518,2.547169749,3.0
5,300520,2.817773928,3.0
5,1105124,2.174297918,3.0
5,1105133,2.455798791,3.0
5,1105789,2.906014987,3.0
5,1105815,2.999526745,4.0
5,1105825,2.542663753,3.0
5,1105828,2.330172186,3.0
5,1105897,3.140702762,4.0
5,1186923,2.389066747,3.0
5,1202553,3.368362582224,4.0
5,1270463,2.725189897,3.0
6,586,3.654996447691,4.0
6,587,3.102602263,4.0
6,589,3.04427264,4.0
6,590,3.454544713313,4.0
6,591,3.845007536138,4.0
6,592,3.322089411,4.0
6,593,2.870727081,3.0
6,594,3.637387292,4.0
6,595,3.705671869,4.0
6,596,3.240459145,4.0
6,18875,3.450843984304,4.0
6,18876,3.239614139,4.0
6,18877,4.506919041,5.0
6,21158,3.311554142,4.0
6,21159,2.85627287,3.0
6,21160,2.96293076,4.0
6,41622,2.771277507,3.0
6,41624,3.599456797933,4.0
6,41626,3.195272737943,4.0
6,61560,3.453505138318,4.0
6,80779,3.426928329,4.0
6,103596,3.498699837018,4.0
6,111502,2.263286261,3.0
6,111504,2.735500273,3.0
6,111506,2.203969785,3.0
6,112592,3.423412024,4.0
6,112594,3.278223385,4.0
6,112596,3.145352237039,4.0
6,112598,3.549226147,4.0
6,112600,3.435999955,4.0
6,112606,2.992834932,4.0
6,121665,2.97786909847,4.0
6,121669,3.409218912,4.0
6,121677,2.845278454,3.0
6,121679,2.98063007031,4.0
6,121681,3.187481444464,4.0
6,300592,3.950366237,5.0
6,300593,3.645611765,4.0
6,300595,3.2236814,4.0
6,318876,3.741695599,4.0
6,318877,4.134433663,5.0
6,1083188,3.481184812888,4.0
6,1168454,2.806298375,3.0
6,1177731,2.549210056,3.0
7,614,3.294597059,4.0
7,615,3.560392993201,4.0
7,616,3.424010553,4.0
7,619,3.383044946211,4.0
7,621,3.29155152,4.0
7,623,3.330907328,4.0
7,624,3.277136118,4.0
