CODIGO_IES,SIGLA_IES,IGC_CONTINUO,IGC_FAIXA
1,UFMT,3.2365176739,
2,UNB,3.9416587126,
3,UFS,3.3675935096,
4,UFAM,3.0481866247,
5,UFPI,2.9606565572,
6,UFOP,3.5094784829,
7,UFSCAR,4.0580920277,
8,UFV,4.0762385574,
9,UEL,3.7405904992,
10,PUCPR,3.5894174027,
11,UNICAP,2.8843684724,
12,FURG,3.4882396168,
13,UCS,3.0876286817,
14,UNISINOS,3.6446330168,
15,UCP,3.0620142047,
17,UFU,3.7294632068,
18,UCPEL,2.779290226,
19,PUC-CAMPINAS,2.8613042947,
20,UPF,2.8376188864,
21,PUCRS,3.732016802,
22,MACKENZIE,3.263208979,
23,FEEVALE,3.2092469348,
24,UESC,3.4206341115,
27,UNINCOR,2.7375904144,
29,UECE,3.0310106288,
30,UNIFENAS,3.3768842509,
32,UNCISAL,2.6809485473,
33,FATEC SO,2.8930832097,
34,FATEC-SP,2.7685165827,
35,FATEC-AM,2.863265466,
36,FATEC-BS,2.6906204771,
37,FATEC-JAHU,2.4073636713,
40,UNEB,2.993705239,
43,UDESC,3.5556538507,
47,UEG,2.547987288,
54,UNICAMP,4.424982563,
56,UNESP,4.100281786,
57,UEM,3.6485012346,
58,FDSBC,2.600771631,
59,FDF,2.803781244,
60,UNI-FACEF,2.9343006037,
67,EEP/FUMEP,2.5563539875,
68,FAFIPE,2.6141218727,
71,UERN,2.8955271787,
73,CESA,1.7502512716,
74,FFCL,1.3801585516,
76,FURB,3.0126326294,
77,FERLAGOS,3.4654895923,
78,FAFIA,1.8634431448,
79,IMES CATANDUVA,2.0803054508,
80,UNIDAVI,3.2127278546,
81,UNIVILLE,2.8242194191,
82,UNOESC,2.9997196586,
83,UNIVALI,3.157609079,
84,FAFIMA,2.4644066256,
87,UNIFEBE,2.7491439927,
93,FMJ,3.3457631663,
95,UVA,2.3740962369,
99,FDCL,1.852767273,
107,UFSJ,3.4412886432,
109,FIRB,2.515727432,
124,UNIARA,2.6972667356,
125,UNAR,2.3162330543,
126,INATEL,3.1607171098,
131,FAEFI,1.513165602,
135,CEUCLAR,2.9524380949,
137,USC,3.429379579,
138,CBM,2.7660460492,
139,FCETM,2.4519123368,
140,,3.2075654299,
141,FADIVA,2.182076519,
142,UNITRI,2.1773376384,
143,UNIUBE,2.4492882165,
144,FACHO,2.6806779839,
146,UNIRP,2.4465851532,
149,FAMERP,3.9468602991,
150,UNISO,2.7916809012,
151,FGV-EAESP,4.0284827893,
152,FACIC,2.409514965,
158,CBM-UniCBE,1.8416020317,
159,FAFICA,2.4177162134,
160,FAFIRE,2.564485371,
161,UNIFAI,2.5537156426,
162,FEBASP,2.7602312633,
163,UNESA,2.7008170926,
165,UVA,3.0304908106,
166,,2.7133205649,
167,UMESP,2.5806300672,
170,FAFEM,1.739002493,
171,FDSM,3.3031845274,
176,UCB,2.4939765756,
190,EMSM,2.582341346,
191,FCCAE,2.7728478915,
192,FFCLSM,2.015372403,
193,FESM,2.5082923104,
194,EEFTESM,2.6638252172,
195,,3.1964160406,
197,FESPPR,2.318892086,
200,FCL,2.8809673059,
202,,1.3805565216,
203,USJT,3.3388358506,
206,UNIÍTALO,2.6980481517,
207,CUML,2.844480698,
208,UNAERP,3.2748935674,
213,FECAP,3.5163716241,
214,FEAMIG,2.1537758136,
216,CEUNIH,2.6172196356,
217,UNIFAE,2.9391092804,
219,FAECA DOM BOSCO,2.2743486413,
220,FSJT,2.368525635,
221,UNICSUL,3.0601025437,
222,UNIFEV,2.7853882508,
224,CUSABC,3.1473832096,
225,,2.2767106595,
226,UNILUS,2.8113246289,
227,UNISANTOS,3.2748675869,
231,FASB I,2.6572764067,
234,FOC,2.8798125719,
240,USU,2.454718964,
242,UNIA,1.9487193763,
243,FCNM,2.8463007343,
244,UNIFIEO,1.9851311713,
254,,2.2273585066,
255,FEAP,1.220730535,
263,FICS,2.2442130842,
265,Unifio,3.2011036096,
266,UNIMEP,2.9149177407,
267,,3.7816448112,
269,FACCAT,1.7633531395,
270,,2.051443744,
271,UNOESTE,3.368064999,
275,UNIVAP,2.7553561363,
276,FADI,2.421040793,
277,UNISUAM,2.5850031316,
278,FIS,2.370388206,
279,FACHA,2.2955771478,
284,FMIT,2.5632794359,
288,FADIVALE,2.280793471,
294,SETREM,2.6426109335,
295,UNISC,3.2522862656,
296,,2.6736538567,
298,,2.4763217118,
299,FAFIJAN,2.3755769848,
302,FACED,2.9498952397,
307,FAME,2.7982622452,
308,UNIPAC,2.2324443021,
316,UNINOVE,3.0030158002,
319,,2.0940171514,
322,UNIP,2.7024148076,
330,UNIG,2.6186845796,
336,FMS,2.4227782021,
337,CES/JF,2.3469717086,
338,PUC MINAS,3.1651744828,
339,,1.4710899159,
343,NEWTON PAIVA,2.8934443555,
344,UNA,3.1565779889,
345,EEK,2.906467295,
346,ISCA,2.2796109584,
349,UNI-BH,3.2526762139,
351,FCMMG,3.2965082494,
352,UNIPÊ,3.0642826342,
353,FEMPAR,1.7610487203,
355,UTP,3.3032262175,
360,UNIPAULISTANA,2.6371978664,
361,FAPSS,2.381113167,
362,FAPSS-SP.,2.766995462,
363,FAMOSP,2.1362039424,
367,UNIMONTES,2.8968376564,
368,FEFISO,2.827485759,
370,FPA,2.291237126,
371,FMCG,1.828857672,
373,ESP,3.133702328,
374,FMU,2.6400713267,
375,UNISA,2.8282884374,
376,,2.3203672468,
383,UNAMA,2.724009929,
384,UNIEVANGÉLICA,3.3658983888,
385,UNIFACS,3.1393963079,
386,UNI-ANHANGÜERA,2.6957099487,
387,UCDB,2.9795266867,
396,UniRuy Wyden,2.6806493264,
398,UNIT,2.8196847145,
402,UNICEUB,2.9095751108,
403,UCB,3.6903250134,
404,UPIS,2.3731783934,
405,FOCCA,2.4898928944,
409,UPE,2.918965968,
410,FCHE,2.8158994557,
415,FCMSCSP,3.9597953078,
416,FASP,2.1012468788,
417,UNICID,2.9661345261,
420,UNIMAR,3.3214044194,
423,URI,2.7874109698,
426,UFN,3.3559920019,
430,UNIFIL,2.6951412828,
431,FAMEMA,3.5040046817,
432,FACCAR,2.0838820832,
434,FASM,2.1752640544,
435,FASM,2.0692228683,
437,UNIPAR,2.4893191082,
438,FFCL,2.4806281752,
439,FAFRAM,2.3346533963,
440,FADITU,2.176396256,
441,UNC,2.4526689293,
446,UNICRUZ,2.5794941673,
448,UNIRITTER,2.8879302743,
449,ULBRA,2.8313113958,
450,UniSL - Ji-Paraná,2.9280583376,
451,CEULS,2.1928368061,
452,CEULM/ULBRA,2.6618486025,
453,CEULP,3.0372861335,
454,FACCCA,2.3609968941,
456,UNISANT'ANNA,2.6944962468,
457,UNIAN - SP,2.2739774647,
458,UNIB,2.6207155008,
461,FA-FAAP,2.4447486911,
466,UAM,3.0529135748,
472,UNIGRANRIO,3.1603077407,
473,FCEACDB,2.9087847088,
474,FFCLDB,2.2739256914,
475,FMP,2.1863729089,
480,UNIFESO,2.5620141632,
481,Univeritas UNG,2.5937146743,
