CODIGO_IES,NOME_IES,CODIGO_CURSO,MODALIDADE_ENSINO,CONCEITO_ENADE_CONTINUO,CONCEITO_ENADE_FAIXA
1,UNIVERSIDADE FEDERAL DE MATO GROSSO,44,Educação Presencial,4.087299895854,5
2,UNIVERSIDADE DE BRASÍLIA,132,Educação Presencial,3.94897905658,5
2,UNIVERSIDADE DE BRASÍLIA,1138293,Educação Presencial,3.363622223384,4
3,UNIVERSIDADE FEDERAL DE SERGIPE,99444,Educação Presencial,3.679414675958,4
4,UNIVERSIDADE FEDERAL DO AMAZONAS,122640,Educação Presencial,3.348468346354,4
5,UNIVERSIDADE FEDERAL DO PIAUÍ,517,Educação Presencial,4.13834289789,5
6,UNIVERSIDADE FEDERAL DE OURO PRETO,112596,Educação Presencial,3.943127087287,4
8,UNIVERSIDADE FEDERAL DE VIÇOSA,704,Educação Presencial,4.444785781252,5
9,UNIVERSIDADE ESTADUAL DE LONDRINA,750,Educação Presencial,3.498882997173,4
10,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,864,Educação Presencial,2.901347833251,3
11,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,52971,Educação Presencial,2.927218934026,3
13,UNIVERSIDADE DE CAXIAS DO SUL,1140,Educação Presencial,2.975628994553,4
13,UNIVERSIDADE DE CAXIAS DO SUL,1181260,Educação Presencial,1.337245283132,2
14,UNIVERSIDADE DO VALE DO RIO DOS SINOS,1237,Educação Presencial,2.294683662258,3
15,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,1276952,Educação Presencial,2.459975125888,3
17,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,18374,Educação Presencial,4.058435539614,5
18,UNIVERSIDADE CATÓLICA DE PELOTAS,1534,Educação Presencial,2.068451246813,3
19,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,1634,Educação Presencial,3.117613430521,4
20,UNIVERSIDADE DE PASSO FUNDO,1786,Educação Presencial,2.443142890611,3
