NO_REGIAO_IES,CO_REGIAO_IES,NO_UF_IES,SG_UF_IES,CO_UF_IES,NO_MUNICIPIO_IES,CO_MUNICIPIO_IES,TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,CO_IES,NO_IES,SG_IES,QT_DOCENTE_TOTAL,QT_DOCENTE_EXE,DOC_EX_FEMI,DOC_EX_MASC,DOC_EX_SEM_GRAD,DOC_EX_GRAD,DOC_EX_ESP,DOC_EX_MEST,DOC_EX_DOUT,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_OUTRAS_BASES,IN_ASSINA_OUTRA_BASE,IN_REPOSITORIO_INSTITUCIONAL,IN_BUSCA_INTEGRADA,IN_SERVICO_INTERNET,IN_PARTICIPA_REDE_SOCIAL,IN_CATALOGO_ONLINE
Norte,1,Rondônia,RO,11,Ariquemes,1100023,3,5,1540,INSTITUTO DE ENSINO SUPERIOR DE RONDÔNIA,IESUR,54,54,29,25,0,0,23,26,5,0,0,0,0,1,1,1,1
Norte,1,Rondônia,RO,11,Ariquemes,1100023,3,4,4613,FACULDADE DE EDUCAÇÃO E MEIO AMBIENTE,FAEMA,69,69,41,28,0,0,22,40,7,0,0,1,1,1,1,1,1
Norte,1,Rondônia,RO,11,Cacoal,1100049,2,4,1917,Centro Universitário Unifacimed,UNIFACIMED,152,152,80,72,0,0,21,90,41,1,0,1,1,0,1,0,1
Norte,1,Rondônia,RO,11,Cacoal,1100049,3,4,4255,FACULDADES INTEGRADAS DE CACOAL,UNESC,39,39,18,21,0,0,17,20,2,0,0,1,1,1,1,1,1
Norte,1,Rondônia,RO,11,Cacoal,1100049,3,4,13792,INSTITUIÇÃO DE ENSINO SUPERIOR DE CACOAL,FANORTE CACOAL,39,39,20,19,0,0,24,11,4,0,0,1,0,1,1,0,0
Norte,1,Rondônia,RO,11,Jaru,1100114,3,5,1699,FACULDADE DE EDUCAÇÃO DE JARU,UNICENTRO,30,30,15,15,0,0,19,7,4,0,0,1,0,1,1,0,1
Norte,1,Rondônia,RO,11,Ji-Paraná,1100122,2,4,450,Centro Universitário São Lucas Ji-Paraná,UniSL,100,100,51,49,0,0,56,35,9,0,0,1,1,1,1,1,1
Norte,1,Rondônia,RO,11,Ji-Paraná,1100122,3,4,4411,Faculdade Estácio Unijipa de Ji-Paraná,,51,51,23,28,0,0,20,23,8,1,0,0,0,1,1,0,1
Norte,1,Rondônia,RO,11,Ji-Paraná,1100122,3,4,11748,FACULDADE DE EDUCAÇÃO E CULTURA DE JI-PARANÁ,FAJIPA,1,1,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0
Norte,1,Rondônia,RO,11,Ouro Preto do Oeste,1100155,3,5,2779,FACULDADE DE INFORMÁTICA DE OURO PRETO DO OESTE,FIOURO,26,26,13,13,0,0,15,10,1,1,0,0,1,1,1,0,1
Norte,1,Rondônia,RO,11,Pimenta Bueno,1100189,3,4,1403,Faculdade Estácio de Pimenta Bueno,Estácio FAP,29,29,18,11,0,0,15,14,0,1,0,0,0,1,1,0,1
Norte,1,Rondônia,RO,11,Porto Velho,1100205,1,1,699,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,848,788,348,440,0,13,68,216,491,1,0,0,1,0,1,1,1
Norte,1,Rondônia,RO,11,Porto Velho,1100205,3,5,788,FACULDADE DE RONDÔNIA,FARO,81,81,26,55,0,0,21,51,9,0,0,1,1,1,1,1,1
Norte,1,Rondônia,RO,11,Porto Velho,1100205,2,5,1087,CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO,,208,208,129,79,0,0,99,78,31,0,0,1,0,1,1,0,1
Norte,1,Rondônia,RO,11,Porto Velho,1100205,2,4,1414,CENTRO UNIVERSITÁRIO SÃO LUCAS,UniSL,353,353,187,166,0,0,169,133,51,0,0,1,1,1,1,1,1
Norte,1,Rondônia,RO,11,Porto Velho,1100205,3,4,1515,FACULDADE DE EDUCAÇÃO DE PORTO VELHO,UNIRON,20,20,9,11,0,0,2,3,15,0,0,1,1,0,1,1,1
Norte,1,Rondônia,RO,11,Porto Velho,1100205,3,4,1728,FACULDADE INTERAMERICANA DE PORTO VELHO,UNIRON,48,48,21,27,0,0,15,14,19,0,0,1,1,0,1,1,1
Norte,1,Rondônia,RO,11,Porto Velho,1100205,3,4,2058,FACULDADE METROPOLITANA,UNNESA,58,58,30,28,0,0,28,20,10,0,0,1,0,1,1,0,1
Norte,1,Rondônia,RO,11,Porto Velho,1100205,3,5,4594,FACULDADE CATÓLICA DE RONDONIA,FCR,41,35,13,22,0,0,6,22,7,0,0,1,0,1,1,0,1
Norte,1,Rondônia,RO,11,Porto Velho,1100205,4,1,4785,INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA DE RONDÔNIA,IFRO,340,340,135,205,0,13,61,179,87,1,0,1,0,0,1,1,1
Norte,1,Rondônia,RO,11,Porto Velho,1100205,3,4,12758,FACULDADE DE EDUCAÇÃO E CULTURA DE PORTO VELHO,FAEC-PVH,10,10,3,7,0,0,3,5,2,0,0,1,1,0,0,0,0
Norte,1,Rondônia,RO,11,Porto Velho,1100205,3,4,18671,FACULDADE DA AMAZÔNIA DE PORTO VELHO,,12,12,5,7,0,0,7,5,0,1,0,1,1,0,1,0,1
Norte,1,Rondônia,RO,11,Porto Velho,1100205,3,4,19943,Faculdade Sapiens,SAPIENS,38,38,15,23,0,0,14,23,1,0,0,0,1,0,1,0,1
Norte,1,Rondônia,RO,11,Rolim de Moura,1100288,3,4,2022,FACULDADE DE ROLIM DE MOURA,FAROL,65,60,26,34,0,2,46,9,3,0,0,1,0,0,1,1,1
Norte,1,Rondônia,RO,11,Rolim de Moura,1100288,3,4,2754,Faculdade Estácio São Paulo de Rondônia,Estácio FSP,54,54,35,19,0,0,31,19,4,1,0,0,0,1,1,0,1
Norte,1,Rondônia,RO,11,Vilhena,1100304,3,5,797,Faculdade AVEC de Vilhena,AVEC,15,15,6,9,0,0,0,12,3,0,0,0,0,1,1,1,0
Norte,1,Rondônia,RO,11,Vilhena,1100304,3,4,11645,FACULDADE DE EDUCAÇÃO E CULTURA DE VILHENA,FAEV,37,37,18,19,0,0,20,13,4,0,0,1,1,0,0,0,0
Norte,1,Rondônia,RO,11,Vilhena,1100304,3,5,17558,Faculdade Santo André,FASA,6,6,6,0,0,0,0,5,1,1,0,0,0,1,1,1,1
Norte,1,Rondônia,RO,11,Vilhena,1100304,3,5,18062,Faculdade Marechal Rondon,,27,25,8,17,0,0,9,11,5,0,0,0,0,1,1,1,0
Norte,1,Rondônia,RO,11,Vilhena,1100304,3,4,19172,Faculdades Integradas Aparício Carvalho Vilhena,FIMCAVILHENA,32,32,16,16,0,0,20,10,2,0,0,1,0,1,1,0,1
Norte,1,Acre,AC,12,Cruzeiro do Sul,1200203,3,5,2072,FACULDADE DE DESENVOLVIMENTO SUSTENTÁVEL DE CRUZEIRO DO SUL,IEVAL,8,7,3,4,0,0,6,1,0,0,0,1,1,1,1,1,0
Norte,1,Acre,AC,12,Rio Branco,1200401,1,1,549,UNIVERSIDADE FEDERAL DO ACRE,UFAC,792,735,337,398,0,57,50,176,452,1,0,1,1,1,1,1,1
Norte,1,Acre,AC,12,Rio Branco,1200401,2,4,2132,CENTRO UNIVERSITÁRIO UNINORTE,,118,118,57,61,0,0,23,59,36,0,0,1,1,0,1,1,1
Norte,1,Acre,AC,12,Rio Branco,1200401,2,4,2343,Centro Universitário U:VERSE,,106,100,39,61,0,0,55,34,11,0,0,1,1,1,1,1,1
Norte,1,Acre,AC,12,Rio Branco,1200401,2,4,2613,Centro Universitário Estácio Meta de Rio Branco Estácio UNIMETA,,83,83,43,40,0,0,43,35,5,1,0,0,0,1,1,0,1
